Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"2,772",75,40,0.07,0.017,9.1,2.0,5.4186,58.9
6%,"2,772",80,30,0.07,0.017,9.1,2.0,5.4186,59.2
6%,"2,772",80,40,0.07,0.017,9.1,2.0,5.4186,56.7
6%,"2,772",85,30,0.07,0.017,9.1,2.0,5.4186,57.1
6%,"2,772",85,40,0.07,0.017,9.1,2.0,5.4186,54.8
6%,"1,2",75,30,0.07,0.017,12.7,2.0,5.4186,47.1
6%,"1,2",75,40,0.07,0.017,12.7,2.0,5.4186,46.0
6%,"1,2",80,30,0.07,0.017,12.7,2.0,5.4186,46.1
6%,"1,2",80,40,0.07,0.017,12.7,2.0,5.4186,45.1
6%,"1,2",85,30,0.07,0.017,12.7,2.0,5.4186,45.2
6%,"1,2",85,40,0.07,0.017,12.7,2.0,5.4186,44.2
4%,"4,344",75,30,0.06,0.017,7.5,2.0,5.4186,70.0
4%,"4,344",75,40,0.05,0.017,7.5,2.0,5.4186,65.2
4%,"4,344",80,30,0.06,0.017,7.5,2.0,5.4186,66.9
4%,"4,344",80,40,0.05,0.017,7.5,2.0,5.4186,62.4
4%,"4,344",85,30,0.06,0.017,7.5,2.0,5.4186,64.2
4%,"4,344",85,40,0.05,0.017,7.5,2.0,5.4186,59.9
4%,"2,772",75,30,0.06,0.017,9.1,2.0,5.4186,55.3
4%,"2,772",75,40,0.05,0.017,9.1,2.0,5.4186,52.2
4%,"2,772",80,30,0.06,0.017,9.1,2.0,5.4186,53.3
4%,"2,772",80,40,0.05,0.017,9.1,2.0,5.4186,50.4
4%,"2,772",85,30,0.06,0.017,9.1,2.0,5.4186,51.6
4%,"2,772",85,40,0.05,0.017,9.1,2.0,5.4186,48.9
4%,"1,2",75,30,0.06,0.017,12.7,2.0,5.4186,44.4
4%,"1,2",75,40,0.05,0.017,12.7,2.0,5.4186,43.1
4%,"1,2",80,30,0.06,0.017,12.7,2.0,5.4186,43.6
4%,"1,2",80,40,0.05,0.017,12.7,2.0,5.4186,42.3
4%,"1,2",85,30,0.06,0.017,12.7,2.0,5.4186,42.8
4%,"1,2",85,40,0.05,0.017,12.7,2.0,5.4186,41.7
10%,"4,344",75,30,0.11,0.013,7.5,3.5,5.4186,110.5
10%,"4,344",75,40,0.10,0.013,7.5,3.5,5.4186,107.9
10%,"4,344",80,30,0.11,0.013,7.5,3.5,5.4186,105.5
10%,"4,344",80,40,0.10,0.013,7.5,3.5,5.4186,103.2
10%,"4,344",85,30,0.11,0.013,7.5,3.5,5.4186,101.2
10%,"4,344",85,40,0.10,0.013,7.5,3.5,5.4186,99.0
10%,"2,772",75,30,0.11,0.013,9.1,3.5,5.4186,87.6
10%,"2,772",75,40,0.10,0.013,9.1,3.5,5.4186,86.0
10%,"2,772",80,30,0.11,0.013,9.1,3.5,5.4186,84.4
10%,"2,772",80,40,0.10,0.013,9.1,3.5,5.4186,82.9
10%,"2,772",85,30,0.11,0.013,9.1,3.5,5.4186,81.7
10%,"2,772",85,40,0.10,0.013,9.1,3.5,5.4186,80.3
10%,"1,2",75,30,0.11,0.013,12.7,3.5,5.4186,71.5
10%,"1,2",75,40,0.10,0.013,12.7,3.5,5.4186,70.8
10%,"1,2",80,30,0.11,0.013,12.7,3.5,5.4186,70.1
