Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"4,018",75,30,0.11,0.042,13.0,1.0,5.4967,108.5
10%,"1,968",65,20,0.12,0.042,14.0,1.0,5.4967,74.0
10%,"1,968",65,30,0.11,0.042,14.0,1.0,5.4967,70.0
10%,"1,968",70,20,0.12,0.042,14.0,1.0,5.4967,70.0
10%,"1,968",70,30,0.11,0.042,14.0,1.0,5.4967,66.4
10%,"1,968",75,20,0.12,0.042,14.0,1.0,5.4967,66.6
10%,"1,968",75,30,0.11,0.042,14.0,1.0,5.4967,63.2
6%,"6,068",65,20,0.09,0.042,11.0,1.0,5.4967,153.8
6%,"6,068",65,30,0.07,0.042,11.0,1.0,5.4967,138.3
6%,"6,068",70,20,0.09,0.042,11.0,1.0,5.4967,144.0
6%,"6,068",70,30,0.07,0.042,11.0,1.0,5.4967,129.6
6%,"6,068",75,20,0.09,0.042,11.0,1.0,5.4967,135.4
6%,"6,068",75,30,0.07,0.042,11.0,1.0,5.4967,122.0
6%,"4,018",65,20,0.09,0.042,13.0,1.0,5.4967,109.1
6%,"4,018",65,30,0.07,0.042,13.0,1.0,5.4967,98.9
6%,"4,018",70,20,0.09,0.042,13.0,1.0,5.4967,102.6
6%,"4,018",70,30,0.07,0.042,13.0,1.0,5.4967,93.1
6%,"4,018",75,20,0.09,0.042,13.0,1.0,5.4967,97.0
6%,"4,018",75,30,0.07,0.042,13.0,1.0,5.4967,88.1
6%,"1,968",65,20,0.09,0.042,14.0,1.0,5.4967,63.5
6%,"1,968",65,30,0.07,0.042,14.0,1.0,5.4967,58.5
6%,"1,968",70,20,0.09,0.042,14.0,1.0,5.4967,60.3
6%,"1,968",70,30,0.07,0.042,14.0,1.0,5.4967,55.6
6%,"1,968",75,20,0.09,0.042,14.0,1.0,5.4967,57.5
6%,"1,968",75,30,0.07,0.042,14.0,1.0,5.4967,53.2
4%,"6,068",65,20,0.07,0.042,11.0,1.0,5.4967,139.3
4%,"6,068",65,30,0.06,0.042,11.0,1.0,5.4967,122.5
4%,"6,068",70,20,0.07,0.042,11.0,1.0,5.4967,130.5
