Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
10%,"7,911",80,50,0.10,0.017,10.5,0.8,4.6017,146.4
10%,"7,911",85,40,0.10,0.017,10.5,0.8,4.6017,140.0
10%,"7,911",85,50,0.10,0.017,10.5,0.8,4.6017,138.5
10%,"7,911",90,40,0.10,0.017,10.5,0.8,4.6017,133.0
10%,"7,911",90,50,0.10,0.017,10.5,0.8,4.6017,131.6
10%,"5,956",80,40,0.10,0.017,11.0,0.8,4.6017,115.0
10%,"5,956",80,50,0.10,0.017,11.0,0.8,4.6017,113.8
10%,"5,956",85,40,0.10,0.017,11.0,0.8,4.6017,109.0
10%,"5,956",85,50,0.10,0.017,11.0,0.8,4.6017,107.9
10%,"5,956",90,40,0.10,0.017,11.0,0.8,4.6017,103.7
10%,"5,956",90,50,0.10,0.017,11.0,0.8,4.6017,102.7
10%,4,80,40,0.10,0.017,11.5,0.8,4.6017,82.0
10%,4,80,50,0.10,0.017,11.5,0.8,4.6017,81.2
10%,4,85,40,0.10,0.017,11.5,0.8,4.6017,78.0
10%,4,85,50,0.10,0.017,11.5,0.8,4.6017,77.3
10%,4,90,40,0.10,0.017,11.5,0.8,4.6017,74.5
10%,4,90,50,0.10,0.017,11.5,0.8,4.6017,73.8
6%,"7,911",80,40,0.07,0.017,10.5,0.8,4.6017,107.6
6%,"7,911",80,50,0.06,0.017,10.5,0.8,4.6017,104.2
6%,"7,911",85,40,0.07,0.017,10.5,0.8,4.6017,102.0
6%,"7,911",85,50,0.06,0.017,10.5,0.8,4.6017,98.8
6%,"7,911",90,40,0.07,0.017,10.5,0.8,4.6017,97.1
6%,"7,911",90,50,0.06,0.017,10.5,0.8,4.6017,94.0
6%,"5,956",80,40,0.07,0.017,11.0,0.8,4.6017,84.6
6%,"5,956",80,50,0.06,0.017,11.0,0.8,4.6017,82.0
6%,"5,956",85,40,0.07,0.017,11.0,0.8,4.6017,80.4
6%,"5,956",85,50,0.06,0.017,11.0,0.8,4.6017,78.0
6%,"5,956",90,40,0.07,0.017,11.0,0.8,4.6017,76.7
6%,"5,956",90,50,0.06,0.017,11.0,0.8,4.6017,74.4
6%,4,80,40,0.07,0.017,11.5,0.8,4.6017,61.6
6%,4,80,50,0.06,0.017,11.5,0.8,4.6017,59.9
6%,4,85,40,0.07,0.017,11.5,0.8,4.6017,58.8
6%,4,85,50,0.06,0.017,11.5,0.8,4.6017,57.2
6%,4,90,40,0.07,0.017,11.5,0.8,4.6017,56.3
6%,4,90,50,0.06,0.017,11.5,0.8,4.6017,54.8
4%,"7,911",80,40,0.05,0.017,10.5,0.8,4.6017,89.6
4%,"7,911",80,50,0.05,0.017,10.5,0.8,4.6017,85.1
4%,"7,911",85,40,0.05,0.017,10.5,0.8,4.6017,85.1
4%,"7,911",85,50,0.05,0.017,10.5,0.8,4.6017,80.8
4%,"7,911",90,40,0.05,0.017,10.5,0.8,4.6017,81.1
4%,"7,911",90,50,0.05,0.017,10.5,0.8,4.6017,77.1
4%,"5,956",80,40,0.05,0.017,11.0,0.8,4.6017,71.0
4%,"5,956",80,50,0.05,0.017,11.0,0.8,4.6017,67.7
4%,"5,956",85,40,0.05,0.017,11.0,0.8,4.6017,67.6
4%,"5,956",85,50,0.05,0.017,11.0,0.8,4.6017,64.5
4%,"5,956",90,40,0.05,0.017,11.0,0.8,4.6017,64.6
4%,"5,956",90,50,0.05,0.017,11.0,0.8,4.6017,61.6
4%,4,80,40,0.05,0.017,11.5,0.8,4.6017,52.5
4%,4,80,50,0.05,0.017,11.5,0.8,4.6017,50.2
4%,4,85,40,0.05,0.017,11.5,0.8,4.6017,50.2
4%,4,85,50,0.05,0.017,11.5,0.8,4.6017,48.1
4%,4,90,40,0.05,0.017,11.5,0.8,4.6017,48.2
4%,4,90,50,0.05,0.017,11.5,0.8,4.6017,46.2
10%,"7,911",80,40,0.10,0.020,10.5,0.8,4.6017,151.5
10%,"7,911",80,50,0.10,0.020,10.5,0.8,4.6017,149.9
10%,"7,911",85,40,0.10,0.020,10.5,0.8,4.6017,143.3
10%,"7,911",85,50,0.10,0.020,10.5,0.8,4.6017,141.8
10%,"7,911",90,40,0.10,0.020,10.5,0.8,4.6017,136.1
10%,"7,911",90,50,0.10,0.020,10.5,0.8,4.6017,134.7
10%,"5,956",80,40,0.10,0.020,11.0,0.8,4.6017,117.6
10%,"5,956",80,50,0.10,0.020,11.0,0.8,4.6017,116.5
10%,"5,956",85,40,0.10,0.020,11.0,0.8,4.6017,111.5
10%,"5,956",85,50,0.10,0.020,11.0,0.8,4.6017,110.4
10%,"5,956",90,40,0.10,0.020,11.0,0.8,4.6017,106.1
10%,"5,956",90,50,0.10,0.020,11.0,0.8,4.6017,105.0
10%,4,80,40,0.10,0.020,11.5,0.8,4.6017,83.8
10%,4,80,50,0.10,0.020,11.5,0.8,4.6017,83.0
10%,4,85,40,0.10,0.020,11.5,0.8,4.6017,79.7
10%,4,85,50,0.10,0.020,11.5,0.8,4.6017,78.9
10%,4,90,40,0.10,0.020,11.5,0.8,4.6017,76.0
10%,4,90,50,0.10,0.020,11.5,0.8,4.6017,75.3
