Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
4%,718,80,30,0.06,0.014,8.4,12.0,5.6200,114.2
4%,718,85,20,0.07,0.014,8.4,12.0,5.6200,115.3
4%,718,85,30,0.06,0.014,8.4,12.0,5.6200,113.8
4%,536,75,20,0.07,0.014,10.3,12.0,5.6200,136.8
4%,536,75,30,0.06,0.014,10.3,12.0,5.6200,135.6
4%,536,80,20,0.07,0.014,10.3,12.0,5.6200,136.4
4%,536,80,30,0.06,0.014,10.3,12.0,5.6200,135.2
4%,536,85,20,0.07,0.014,10.3,12.0,5.6200,136.0
4%,536,85,30,0.06,0.014,10.3,12.0,5.6200,134.9
10%,899,75,20,0.12,0.017,8.0,12.0,5.6200,120.1
10%,899,75,30,0.11,0.017,8.0,12.0,5.6200,118.5
10%,899,80,20,0.12,0.017,8.0,12.0,5.6200,118.9
10%,899,80,30,0.11,0.017,8.0,12.0,5.6200,117.5
10%,899,85,20,0.12,0.017,8.0,12.0,5.6200,117.9
10%,899,85,30,0.11,0.017,8.0,12.0,5.6200,116.5
10%,718,75,20,0.12,0.017,8.4,12.0,5.6200,121.6
10%,718,75,30,0.11,0.017,8.4,12.0,5.6200,120.4
10%,718,80,20,0.12,0.017,8.4,12.0,5.6200,120.7
10%,718,80,30,0.11,0.017,8.4,12.0,5.6200,119.5
10%,718,85,20,0.12,0.017,8.4,12.0,5.6200,119.9
10%,718,85,30,0.11,0.017,8.4,12.0,5.6200,118.8
10%,536,75,20,0.12,0.017,10.3,12.0,5.6200,140.7
10%,536,75,30,0.11,0.017,10.3,12.0,5.6200,139.8
10%,536,80,20,0.12,0.017,10.3,12.0,5.6200,140.0
10%,536,80,30,0.11,0.017,10.3,12.0,5.6200,139.1
10%,536,85,20,0.12,0.017,10.3,12.0,5.6200,139.4
10%,536,85,30,0.11,0.017,10.3,12.0,5.6200,138.6
6%,899,75,20,0.09,0.017,8.0,12.0,5.6200,115.9
